mode,m,accuracy
test,0,0.8458
train,0,0.8344
test,1,0.8642
train,1,0.8138
test,2,0.8756
train,2,0.8782
test,3,0.8702
train,3,0.8528
test,4,0.876
train,4,0.8858
test,5,0.8754
train,5,0.8842
test,6,0.8784
train,6,0.8868
test,7,0.8756
train,7,0.881
test,8,0.8762
train,8,0.8906000000000001
test,9,0.8772
train,9,0.8888
test,10,0.8786
train,10,0.8892
test,11,0.8772
train,11,0.8848
test,12,0.8752
train,12,0.8902
test,13,0.8798
train,13,0.8944
test,14,0.8796
train,14,0.887
test,15,0.8748
train,15,0.8854
test,16,0.8768
train,16,0.895
test,17,0.8782
train,17,0.8906000000000001
test,18,0.8768
train,18,0.8934
test,19,0.875
train,19,0.8894
test,20,0.879
train,20,0.892
