i,forest/tree,bias,variance,gen_error
0,forest,0.0,0.0,0.0
0,tree,0.0,0.0,0.0
1,forest,0.0,0.0,0.0
1,tree,0.0,0.0,0.0
2,forest,1.0,2.0,3.0
2,tree,0.0,0.0,0.0
3,forest,0.0,0.0,0.0
3,tree,0.0,0.0,0.0
4,forest,0.0,0.0,0.0
4,tree,0.0,0.0,0.0
5,forest,0.0,0.0,0.0
5,tree,0.0,0.0,0.0
6,forest,0.0,0.0,0.0
6,tree,0.0,0.0,0.0
7,forest,0.0,0.0,0.0
7,tree,0.0,0.0,0.0
8,forest,0.0,0.0,0.0
8,tree,0.0,0.0,0.0
9,forest,0.0,0.0,0.0
9,tree,1.0,2.0,3.0
10,forest,0.0,0.0,0.0
10,tree,0.0,0.0,0.0
11,forest,0.0,0.0,0.0
11,tree,0.0,0.0,0.0
12,forest,4.0,0.0,4.0
12,tree,4.0,0.0,4.0
13,forest,0.0,0.0,0.0
13,tree,0.0,0.0,0.0
14,forest,0.0,0.0,0.0
14,tree,0.0,0.0,0.0
15,forest,0.0,0.0,0.0
15,tree,0.0,0.0,0.0
16,forest,4.0,0.0,4.0
16,tree,4.0,0.0,4.0
17,forest,0.0,0.0,0.0
17,tree,0.0,0.0,0.0
18,forest,0.0,0.0,0.0
18,tree,0.0,0.0,0.0
19,forest,1.0,2.0,3.0
19,tree,0.0,0.0,0.0
20,forest,0.0,0.0,0.0
20,tree,0.0,0.0,0.0
21,forest,0.0,0.0,0.0
21,tree,0.0,0.0,0.0
22,forest,0.0,0.0,0.0
22,tree,0.0,0.0,0.0
23,forest,4.0,0.0,4.0
23,tree,4.0,0.0,4.0
24,forest,1.0,2.0,3.0
24,tree,0.0,0.0,0.0
25,forest,0.0,0.0,0.0
25,tree,0.0,0.0,0.0
26,forest,0.0,0.0,0.0
26,tree,0.0,0.0,0.0
27,forest,1.0,2.0,3.0
27,tree,1.0,2.0,3.0
28,forest,4.0,0.0,4.0
28,tree,4.0,0.0,4.0
29,forest,4.0,0.0,4.0
29,tree,4.0,0.0,4.0
30,forest,0.0,0.0,0.0
30,tree,0.0,0.0,0.0
31,forest,0.0,0.0,0.0
31,tree,0.0,0.0,0.0
32,forest,0.0,0.0,0.0
32,tree,0.0,0.0,0.0
33,forest,0.0,0.0,0.0
33,tree,0.0,0.0,0.0
34,forest,0.0,0.0,0.0
34,tree,0.0,0.0,0.0
35,forest,0.0,0.0,0.0
35,tree,0.0,0.0,0.0
36,forest,0.0,0.0,0.0
36,tree,0.0,0.0,0.0
37,forest,1.0,2.0,3.0
37,tree,0.0,0.0,0.0
38,forest,0.0,0.0,0.0
38,tree,0.0,0.0,0.0
39,forest,4.0,0.0,4.0
39,tree,4.0,0.0,4.0
40,forest,0.0,0.0,0.0
40,tree,0.0,0.0,0.0
41,forest,0.0,0.0,0.0
41,tree,0.0,0.0,0.0
42,forest,0.0,0.0,0.0
42,tree,0.0,0.0,0.0
43,forest,4.0,0.0,4.0
43,tree,4.0,0.0,4.0
44,forest,0.0,0.0,0.0
44,tree,0.0,0.0,0.0
45,forest,0.0,0.0,0.0
45,tree,1.0,2.0,3.0
46,forest,0.0,0.0,0.0
46,tree,0.0,0.0,0.0
47,forest,0.0,0.0,0.0
47,tree,0.0,0.0,0.0
48,forest,1.0,2.0,3.0
48,tree,0.0,0.0,0.0
49,forest,0.0,0.0,0.0
49,tree,0.0,0.0,0.0
